ref_id,name,category,book,tabula,modern_location,recension,lon_ptolemy,lat_ptolemy,naming_observation,feature_id,sequence_in_feature,feature_closes_loop,river_feature_id,river_sequence_in_feature,island_feature_id,island_sequence_in_feature,island_feature_closes_loop,mountain_feature_id,mountain_sequence_in_feature
2.02.11.03,Ebuda 1,island,Europe,EU01,,Omega,15.0,62.0,manually verified island-appendix section (_ISLAND_APPENDIX_SECTIONS),,,,,,,,,,
2.02.11.04,Ebuda 2,island,Europe,EU01,,Omega,15.6666666666667,62.0,manually verified island-appendix section (_ISLAND_APPENDIX_SECTIONS),,,,,,,,,,
2.02.11.05,Ricina,island,Europe,EU01,,Omega,17.0,62.0,manually verified island-appendix section (_ISLAND_APPENDIX_SECTIONS),,,,,,,,,,
2.02.11.06,Maleus (Malaeus),island,Europe,EU01,,Omega,17.5,62.1666666666667,manually verified island-appendix section (_ISLAND_APPENDIX_SECTIONS),,,,,,,,,,
2.02.11.07,Epidium,island,Europe,EU01,,Omega,18.5,62.0,manually verified island-appendix section (_ISLAND_APPENDIX_SECTIONS),,,,,,,,,,
2.02.12.02,Monaoeda (Monarina),island,Europe,EU01,Man,Omega,17.6666666666667,61.5,manually verified island-appendix section (_ISLAND_APPENDIX_SECTIONS),,,,,,,,,,
2.02.12.03,Mona,island,Europe,EU01,Anglesey,Omega,15.0,57.6666666666667,manually verified island-appendix section (_ISLAND_APPENDIX_SECTIONS),,,,,,,,,,
2.02.12.04,Edrus (Adrus),island,Europe,EU01,,Omega,15.0,59.5,manually verified island-appendix section (_ISLAND_APPENDIX_SECTIONS),,,,,,,,,,
2.02.12.05,Limnus,island,Europe,EU01,,Omega,15.0,59.0,manually verified island-appendix section (_ISLAND_APPENDIX_SECTIONS),,,,,,,,,,
2.03.01.03,Halbinsel der Novanten und Kap,coast,Europe,EU01,,Omega,21.0,61.6666666666667,contains 'Kap' (cape) - coastal regardless of any mountain-range aside,coastline_001_EU01,29,1,,,,,,,
2.03.01.04,Golf von Rerigonium,coast,Europe,EU01,Loch Ryan,Omega,20.5,60.8333333333333,matches gulf/bay pattern (Golf/Bucht/Meerbusen),coastline_001_EU01,30,1,,,,,,,
2.03.01.05,Golf von Vindogara,coast,Europe,EU01,Irvine Bay,Omega,21.3333333333333,60.5,matches gulf/bay pattern (Golf/Bucht/Meerbusen),coastline_001_EU01,31,1,,,,,,,
2.03.01.06,Clota-Ästuar,coast,Europe,EU01,Firth of Clyde,Omega,22.25,59.6666666666667,matches estuary pattern (Ästuar),coastline_001_EU01,32,1,,,,,,,
2.03.01.07,Lemannonischer Golf,coast,Europe,EU01,Loch Fyne,Omega,24.0,60.0,matches gulf/bay pattern (Golf/Bucht/Meerbusen),coastline_001_EU01,33,1,,,,,,,
2.03.01.08,Kap Epidium,coast,Europe,EU01,Mull of Kintyre,Omega,23.0,60.6666666666667,contains 'Kap' (cape) - coastal regardless of any mountain-range aside,coastline_001_EU01,34,1,,,,,,,
2.03.01.09,Longus-Mündung,river_mouth,Europe,EU01,,Omega,24.0,60.6666666666667,"matches 'Mündung' (river mouth) - coastal, colored separately",coastline_001_EU01,35,1,,,,,,,
2.03.01.10,Itys-Mündung,river_mouth,Europe,EU01,,Omega,27.0,60.6666666666667,"matches 'Mündung' (river mouth) - coastal, colored separately",coastline_001_EU01,36,1,,,,,,,
2.03.01.11,Golf von Volsas (Golf von Volas),coast,Europe,EU01,,Omega,29.0,60.5,matches gulf/bay pattern (Golf/Bucht/Meerbusen),coastline_001_EU01,37,1,,,,,,,
2.03.01.12,Nabarus-Mündung,river_mouth,Europe,EU01,Naver-Mündung,Omega,30.0,60.5,"matches 'Mündung' (river mouth) - coastal, colored separately",coastline_001_EU01,38,1,,,,,,,
2.03.01.13,Kap Orcas bzw. Tarvedum,coast,Europe,EU01,Dunnet Head,Omega,31.3333333333333,60.25,contains 'Kap' (cape) - coastal regardless of any mountain-range aside,coastline_001_EU01,39,1,,,,,,,
2.03.02.03,Halbinsel der Novanten,coast,Europe,EU01,,Omega,21.0,61.6666666666667,no specific keyword match; section header names a sea/ocean/gulf,,,,,,,,,,
2.03.02.04,Abravannus-Mündung,river_mouth,Europe,EU01,,Omega,19.3333333333333,61.0,"matches 'Mündung' (river mouth) - coastal, colored separately",coastline_001_EU01,28,1,,,,,,,
2.03.02.05,Iena-Ästuar,coast,Europe,EU01,,Omega,19.0,60.5,matches estuary pattern (Ästuar),coastline_001_EU01,27,1,,,,,,,
2.03.02.06,Deva-Mündung,river_mouth,Europe,EU01,Dee-Mündung,Omega,18.0,60.0,"matches 'Mündung' (river mouth) - coastal, colored separately",coastline_001_EU01,26,1,river_000_Deva,0,,,,,
2.03.02.07,Novius-Mündung,river_mouth,Europe,EU01,Nith-Mündung,Omega,18.3333333333333,59.5,"matches 'Mündung' (river mouth) - coastal, colored separately",coastline_001_EU01,25,1,,,,,,,
2.03.02.08,Ituna-Ästuar,coast,Europe,EU01,Solway Firth,Omega,18.5,58.75,matches estuary pattern (Ästuar),coastline_001_EU01,24,1,,,,,,,
2.03.02.09,Moricambe-Ästuar,coast,Europe,EU01,Morecambe Bay,Omega,17.5,58.3333333333333,matches estuary pattern (Ästuar),coastline_001_EU01,23,1,,,,,,,
2.03.02.10,Hafen der Setantier,harbor,Europe,EU01,,Omega,17.3333333333333,57.75,"matches harbor pattern (Hafen/Portus) - coastal, colored separately",coastline_001_EU01,22,1,,,,,,,
2.03.02.11,Belisama-Ästuar,coast,Europe,EU01,Ribble,Omega,17.5,57.3333333333333,matches estuary pattern (Ästuar),coastline_001_EU01,21,1,,,,,,,
2.03.02.12,Seteia-Ästuar,coast,Europe,EU01,Mersey,Omega,17.0,57.0,matches estuary pattern (Ästuar),coastline_001_EU01,20,1,,,,,,,
2.03.02.13,Toesobis-Mündung,river_mouth,Europe,EU01,,Omega,15.6666666666667,56.3333333333333,"matches 'Mündung' (river mouth) - coastal, colored separately",coastline_001_EU01,19,1,,,,,,,
2.03.03.01,Kap der Ganganer (Kap der Ianganer),coast,Europe,EU01,Braich-y-Pwll,Omega,15.0,56.0,contains 'Kap' (cape) - coastal regardless of any mountain-range aside,coastline_001_EU01,18,1,,,,,,,
2.03.03.02,Stuccia-Mündung,river_mouth,Europe,EU01,Ystwyth-Mündung,Omega,15.3333333333333,55.5,"matches 'Mündung' (river mouth) - coastal, colored separately",coastline_001_EU01,17,1,,,,,,,
2.03.03.03,Tuerobis-Mündung,river_mouth,Europe,EU01,,Omega,15.0,55.0,"matches 'Mündung' (river mouth) - coastal, colored separately",coastline_001_EU01,16,1,,,,,,,
2.03.03.04,Kap Octapitarum,coast,Europe,EU01,St. David's Head,Omega,14.3333333333333,54.5,contains 'Kap' (cape) - coastal regardless of any mountain-range aside,coastline_001_EU01,15,1,,,,,,,
2.03.03.05,Tobius-Mündung,river_mouth,Europe,EU01,Tywi-Mündung,Omega,15.5,54.5,"matches 'Mündung' (river mouth) - coastal, colored separately",coastline_001_EU01,14,1,,,,,,,
2.03.03.06,Ratostathybius-Mündung (Ratostabius-Mündung),river_mouth,Europe,EU01,Taff-Mündung,Omega,16.5,54.5,"matches 'Mündung' (river mouth) - coastal, colored separately",coastline_001_EU01,13,1,,,,,,,
2.03.03.07,Sabrina-Ästuar,coast,Europe,EU01,Severn,Omega,17.3333333333333,54.5,matches estuary pattern (Ästuar),coastline_001_EU01,12,1,,,,,,,
2.03.03.08,Uxella-Ästuar,coast,Europe,EU01,Bridgewater Bay,Omega,16.0,53.5,matches estuary pattern (Ästuar),coastline_001_EU01,11,1,,,,,,,
2.03.03.09,Kap des Herakles,coast,Europe,EU01,Hartland Point,Omega,14.0,53.0,contains 'Kap' (cape) - coastal regardless of any mountain-range aside,coastline_001_EU01,10,1,,,,,,,
2.03.03.10,Kap Antivestaeum bzw. Bolerium,coast,Europe,EU01,Land's End,Omega,11.0,52.5,contains 'Kap' (cape) - coastal regardless of any mountain-range aside,coastline_001_EU01,9,1,,,,,,,
2.03.03.11,Kap Damnonium bzw. Ocrium,coast,Europe,EU01,Lizard Point,Omega,12.0,51.5,contains 'Kap' (cape) - coastal regardless of any mountain-range aside,coastline_001_EU01,8,1,,,,,,,
2.03.04.03,Cenion-Mündung (Cennion-Mündung),river_mouth,Europe,EU01,,Omega,14.0,51.75,"matches 'Mündung' (river mouth) - coastal, colored separately",coastline_001_EU01,7,1,,,,,,,
2.03.04.04,Tamarus-Mündung,river_mouth,Europe,EU01,Tamar-Mündung,Omega,15.6666666666667,52.1666666666667,"matches 'Mündung' (river mouth) - coastal, colored separately",coastline_001_EU01,6,1,,,,,,,
2.03.04.05,Isca-Mündung,river_mouth,Europe,EU01,Exe-Mündung,Omega,17.0,52.3333333333333,"matches 'Mündung' (river mouth) - coastal, colored separately",coastline_001_EU01,5,1,,,,,,,
2.03.04.06,Alaunus-Mündung,river_mouth,Europe,EU01,,Omega,17.6666666666667,52.6666666666667,"matches 'Mündung' (river mouth) - coastal, colored separately",coastline_001_EU01,4,1,river_001_Alaunus,0,,,,,
2.03.04.07,Grosser Hafen,harbor,Europe,EU01,Spithead,Omega,19.0,53.0,"matches harbor pattern (Hafen/Portus) - coastal, colored separately",coastline_001_EU01,3,1,,,,,,,
2.03.04.08,Trisanton-Mündung,river_mouth,Europe,EU01,Arun,Omega,20.3333333333333,53.0,"matches 'Mündung' (river mouth) - coastal, colored separately",coastline_001_EU01,2,1,,,,,,,
2.03.04.09,Neuer Hafen,harbor,Europe,EU01,Newhaven,Omega,21.0,53.5,"matches harbor pattern (Hafen/Portus) - coastal, colored separately",coastline_001_EU01,1,1,,,,,,,
2.03.04.10,Kap Cantium,coast,Europe,EU01,South Foreland,Omega,22.0,54.0,contains 'Kap' (cape) - coastal regardless of any mountain-range aside,coastline_001_EU01,0,1,,,,,,,
2.03.05.03,Kap Virvedrum,coast,Europe,EU01,Duncansby Head,Omega,31.0,60.0,contains 'Kap' (cape) - coastal regardless of any mountain-range aside,coastline_001_EU01,40,1,,,,,,,
2.03.05.04,Kap Verubium,coast,Europe,EU01,Noss Head,Omega,30.5,59.6666666666667,contains 'Kap' (cape) - coastal regardless of any mountain-range aside,coastline_001_EU01,41,1,,,,,,,
2.03.05.05,Ila-Mündung,river_mouth,Europe,EU01,,Omega,30.0,59.6666666666667,"matches 'Mündung' (river mouth) - coastal, colored separately",coastline_001_EU01,42,1,,,,,,,
