book,map,section,position,name_phrase,lon_dms,lat_dms,lon_decimal,lat_decimal,catalogue_matched,catalogue_ref_id,catalogue_name,catalogue_match_score
2,3,1,9,Volas bay,29°00',60°30',29.0,60.5,yes,2.03.01.11,Golf von Volsas (Golf von Volas),100.0
2,3,1,10,mouth of the Navarus river,30°00',60°30',30.0,60.5,yes,2.03.01.12,Nabarus-Mündung,100.0
2,3,1,11,Tarvedum or Orcas promontory,31°20',60°15',31.3333,60.25,yes,2.03.01.13,Kap Orcas bzw. Tarvedum,100.0
2,3,2,1,Novantian promontory,21°00',61°40',21.0,61.6667,yes,2.03.01.03,Halbinsel der Novanten und Kap,100.0
2,3,2,2,mouth of the Abravannus river,19°20',61°00',19.3333,61.0,yes,2.03.02.04,Abravannus-Mündung,100.0
2,3,2,3,Iena estuary,19°00',60°30',19.0,60.5,yes,2.03.02.05,Iena-Ästuar,100.0
2,3,2,4,mouth of the Devas river,18°00',60°00',18.0,60.0,yes,2.03.02.06,Deva-Mündung,100.0
2,3,2,5,mouth of the Novius river,18°20',59°30',18.3333,59.5,yes,2.03.02.07,Novius-Mündung,100.0
2,3,2,6,Ituna estuary,18°30',58°45',18.5,58.75,yes,2.03.02.08,Ituna-Ästuar,100.0
2,3,2,7,Moricambe estuary,17°30',58°20',17.5,58.3333,yes,2.03.02.09,Moricambe-Ästuar,100.0
2,3,2,8,Setantiorum harbor b,17°20',57°45',17.3333,57.75,yes,2.03.02.10,Hafen der Setantier,100.0
2,3,2,9,Belisama estuary,17°30',57°20',17.5,57.3333,yes,2.03.02.11,Belisama-Ästuar,100.0
2,3,2,10,Seteia estuary,17°00',57°00',17.0,57.0,yes,2.03.02.12,Seteia-Ästuar,100.0
2,3,2,11,Caeanganorum promontory,15°00',57°00',15.0,57.0,yes,2.03.03.01,Kap der Ganganer (Kap der Ianganer),62.3
2,3,2,12,c mouth of the Toesobis river,15°40',56°20',15.6667,56.3333,yes,2.03.02.13,Toesobis-Mündung,100.0
2,3,2,13,mouth of the Stuccia river,15°20',55°30',15.3333,55.5,yes,2.03.03.02,Stuccia-Mündung,100.0
2,3,2,14,mouth of the Tuerobis river,15°00',55°00',15.0,55.0,yes,2.03.03.03,Tuerobis-Mündung,100.0
2,3,2,15,Octapitarum promontory,14°20',54°30',14.3333,54.5,yes,2.03.03.04,Kap Octapitarum,100.0
